,Unnamed: 0,classname,numberOfVersionsUntil,numberOfFixesUntil,numberOfRefactoringsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,Unnamed: 22
0,2,org::eclipse::jdt::internal::compiler::ast::ASTNode ,120,10,0,12,1361.0,99.0,11.3417,768.0,77.0,6.4,593.0,66.0,4.941669999999999,238.429,104.204,1,0,0,0,0, 
1,16,org::eclipse::jdt::internal::compiler::ast::TypeDeclaration ,193,30,0,12,6571.0,1071.0,34.0466,6072.0,1123.0,31.4611,499.0,174.0,2.58549,367.0,111.711,3,0,0,0,0, 
2,19,org::eclipse::jdt::core::search::SearchPattern ,91,8,0,9,6880.0,1627.0,75.6044,5271.0,1359.0,57.9231,1609.0,583.0,17.6813,236.0,96.0161,1,0,0,0,0, 
3,22,org::eclipse::jdt::internal::core::BinaryMember ,43,6,0,6,409.0,105.0,9.51163,317.0,110.0,7.372089999999999,92.0,79.0,2.1395299999999997,367.0,133.861,1,0,0,0,0, 
4,23,org::eclipse::jdt::internal::compiler::ast::MessageSend ,168,12,0,10,2126.0,307.0,12.6548,1719.0,307.0,10.2321,407.0,63.0,2.42262,367.0,129.876,4,0,0,0,0, 
5,25,org::eclipse::jdt::internal::compiler::parser::JavadocParser ,92,12,0,9,2972.0,319.0,32.3043,3264.0,892.0,35.4783,-292.0,168.0,-3.17391,239.143,49.4217,3,0,0,0,0, 
6,26,org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference ,76,10,0,7,1763.0,600.0,23.1974,1852.0,600.0,24.3684,-89.0,43.0,-1.17105,367.0,81.0014,2,0,0,0,0, 
7,34,org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern ,82,7,0,8,2577.0,325.0,31.4268,2733.0,325.0,33.3293,-156.0,81.0,-1.9024400000000001,367.0,77.5985,1,0,0,0,0, 
8,38,org::eclipse::jdt::internal::compiler::lookup::MethodScope ,89,9,0,9,2001.0,399.0,22.4831,1889.0,399.0,21.2247,112.0,117.0,1.25843,367.0,118.103,1,1,0,0,0, 
9,39,org::eclipse::jdt::internal::compiler::CompilationResult ,81,18,0,9,1835.0,349.0,22.6543,1569.0,379.0,19.3704,266.0,79.0,3.28395,367.0,130.299,1,0,0,0,0, 
10,50,org::eclipse::jdt::internal::compiler::lookup::SourceTypeBinding ,224,16,0,12,6579.0,1041.0,29.3705,5717.0,1041.0,25.5223,862.0,146.0,3.84821,367.0,115.991,6,0,1,0,0, 
11,56,org::eclipse::jdt::internal::core::search::matching::AndPattern ,50,6,0,8,574.0,115.0,11.48,707.0,115.0,14.14,-133.0,14.0,-2.66,367.0,119.90700000000001,1,0,0,0,0, 
12,58,org::eclipse::jdt::internal::core::search::matching::OrPattern ,60,3,0,7,986.0,170.0,16.4333,1102.0,170.0,18.3667,-116.0,35.0,-1.93333,367.0,74.1623,1,0,0,0,0, 
13,66,org::eclipse::jdt::internal::compiler::ast::ForeachStatement ,84,31,0,8,2092.0,395.0,24.9048,1163.0,62.0,13.8452,929.0,395.0,11.0595,223.429,46.9666,2,0,0,0,0, 
14,68,org::eclipse::jdt::internal::eval::CodeSnippetClassFile ,61,13,0,8,667.0,241.0,10.9344,705.0,241.0,11.5574,-38.0,5.0,-0.622951,367.0,79.6989,1,0,0,0,0, 
15,73,org::eclipse::jdt::internal::core::builder::ReferenceCollection ,28,6,0,7,407.0,225.0,14.5357,365.0,225.0,13.0357,42.0,32.0,1.5,329.0,74.1846,1,0,0,0,0, 
16,74,org::eclipse::jdt::internal::compiler::ast::InstanceOfExpression ,74,8,0,8,1181.0,247.0,15.9595,1310.0,247.0,17.7027,-129.0,33.0,-1.7432400000000001,367.0,74.9741,1,0,0,0,0, 
17,84,org::eclipse::jdt::internal::core::InternalNamingConventions ,24,7,0,7,267.0,108.0,11.125,124.0,44.0,5.16667,143.0,64.0,5.95833,278.57099999999997,145.97299999999998,2,0,0,0,0, 
18,92,org::eclipse::jdt::internal::core::search::matching::SuperTypeReferenceLocator ,22,4,0,8,105.0,23.0,4.77273,66.0,23.0,3.0,39.0,19.0,1.77273,248.571,69.2898,1,0,0,0,0, 
19,95,org::eclipse::jdt::internal::core::util::CommentRecorderScanner ,8,4,0,4,12.0,4.0,1.5,10.0,4.0,1.25,2.0,1.0,0.25,228.143,40.2857,1,0,0,0,0, 
20,105,org::eclipse::jdt::internal::core::search::matching::PackageDeclarationPattern ,49,4,0,7,497.0,97.0,10.1429,583.0,97.0,11.898,-86.0,19.0,-1.7551,367.0,51.8896,1,0,0,0,0, 
21,112,org::eclipse::jdt::core::CompletionContext ,18,4,0,4,599.0,151.0,33.2778,51.0,24.0,2.83333,548.0,151.0,30.4444,169.857,73.1803,1,0,0,0,0, 
22,126,org::eclipse::jdt::internal::core::search::matching::MethodLocator ,107,10,0,9,1707.0,139.0,15.9533,863.0,70.0,8.06542,844.0,119.0,7.88785,248.571,94.0384,3,0,0,0,0, 
23,130,org::eclipse::jdt::internal::core::CopyPackageFragmentRootOperation ,35,7,0,7,215.0,50.0,6.14286,148.0,46.0,4.2285699999999995,67.0,41.0,1.91429,281.143,35.0671,1,0,0,0,0, 
24,132,org::eclipse::jdt::internal::core::ProjectReferenceChange ,8,2,0,2,132.0,62.0,16.5,104.0,50.0,13.0,28.0,12.0,3.5,105.0,81.7056,1,0,0,0,0, 
25,133,org::eclipse::jdt::internal::compiler::ast::QualifiedSuperReference ,38,6,0,5,239.0,58.0,6.28947,226.0,58.0,5.947369999999999,13.0,9.0,0.342105,367.0,67.2791,1,0,0,0,0, 
26,135,org::eclipse::jdt::internal::core::search::matching::MemberDeclarationVisitor ,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2857,0.0,0,0,0,0,0, 
27,141,org::eclipse::jdt::internal::core::SearchableEnvironment ,90,8,0,8,4337.0,329.0,48.1889,4198.0,329.0,46.6444,139.0,101.0,1.54444,367.0,36.5847,1,0,0,0,0, 
28,152,org::eclipse::jdt::internal::compiler::util::Util ,87,19,0,7,3123.0,378.0,35.8966,2127.0,378.0,24.4483,996.0,216.0,11.4483,363.85699999999997,109.912,1,0,0,0,0, 
29,154,org::eclipse::jdt::internal::core::LocalVariable ,35,4,0,8,219.0,110.0,6.25714,49.0,7.0,1.4,170.0,106.0,4.85714,243.857,141.279,1,0,0,0,0, 
30,155,org::eclipse::jdt::internal::compiler::ast::MethodDeclaration ,84,8,0,6,857.0,102.0,10.2024,680.0,102.0,8.095239999999999,177.0,59.0,2.1071400000000002,367.0,122.82799999999999,2,0,0,0,0, 
31,162,org::eclipse::jdt::internal::core::search::matching::MatchLocator ,381,27,0,9,19905.0,1343.0,52.2441,16702.0,1343.0,43.8373,3203.0,240.0,8.40682,367.0,76.8359,5,0,1,0,0, 
32,163,org::eclipse::jdt::internal::compiler::ast::ExplicitConstructorCall ,85,9,0,8,2035.0,315.0,23.9412,1862.0,315.0,21.9059,173.0,55.0,2.0352900000000003,367.0,80.5213,1,0,0,0,0, 
33,170,org::eclipse::jdt::internal::compiler::batch::Main ,397,96,1,10,22934.0,2078.0,57.7683,19199.0,2001.0,48.3602,3735.0,630.0,9.40806,367.0,176.29,2,0,0,0,0, 
34,175,org::eclipse::jdt::internal::core::JavaModel ,112,11,0,7,1709.0,500.0,15.2589,1953.0,593.0,17.4375,-244.0,44.0,-2.17857,367.0,61.1051,1,1,0,0,0, 
35,176,org::eclipse::jdt::internal::compiler::lookup::FieldBinding ,71,5,0,10,979.0,202.0,13.7887,716.0,210.0,10.0845,263.0,50.0,3.7042300000000004,367.0,132.269,3,0,0,0,0, 
36,182,org::eclipse::jdt::core::search::MethodReferenceMatch ,35,6,0,5,386.0,100.0,11.0286,214.0,100.0,6.1142900000000004,172.0,37.0,4.91429,227.571,92.5426,1,0,0,0,0, 
37,183,org::eclipse::jdt::internal::eval::CodeSnippetQualifiedNameReference ,73,9,0,7,2135.0,604.0,29.2466,2223.0,604.0,30.4521,-88.0,22.0,-1.2054799999999999,367.0,73.4238,2,0,1,0,0, 
38,188,org::eclipse::jdt::internal::core::BinaryType ,183,30,0,9,2680.0,542.0,14.6448,1779.0,542.0,9.72131,901.0,84.0,4.9235,367.0,108.119,1,0,0,0,0, 
39,191,org::eclipse::jdt::core::util::ByteCodeVisitorAdapter ,11,4,0,3,234.0,205.0,21.2727,29.0,9.0,2.63636,205.0,205.0,18.6364,322.714,69.5672,1,0,0,0,0, 
40,193,org::eclipse::jdt::internal::compiler::Compiler ,140,26,1,10,7441.0,594.0,53.15,6989.0,594.0,49.9214,452.0,111.0,3.22857,367.0,55.6267,1,0,0,0,0, 
41,194,org::eclipse::jdt::internal::compiler::flow::FlowContext ,72,4,0,7,3216.0,448.0,44.6667,3112.0,448.0,43.2222,104.0,52.0,1.44444,367.0,109.796,2,0,0,0,0, 
42,207,org::eclipse::jdt::internal::codeassist::InternalCompletionContext ,13,3,0,3,130.0,45.0,10.0,21.0,14.0,1.61538,109.0,31.0,8.38461,169.857,89.5549,1,0,0,0,0, 
43,209,org::eclipse::jdt::core::dom::CharacterLiteral ,49,13,0,8,785.0,308.0,16.0204,525.0,308.0,10.7143,260.0,61.0,5.30612,333.14300000000003,67.7934,1,1,0,0,0, 
44,212,org::eclipse::jdt::internal::core::search::BasicSearchEngine ,65,9,0,5,1612.0,232.0,24.8,1119.0,217.0,17.2154,493.0,231.0,7.5846100000000005,178.143,49.9435,1,0,1,0,0, 
45,217,org::eclipse::jdt::internal::compiler::ast::SingleNameReference ,150,10,0,10,4705.0,765.0,31.3667,4440.0,746.0,29.6,265.0,43.0,1.76667,367.0,155.141,6,0,1,0,0, 
46,224,org::eclipse::jdt::internal::core::search::matching::DeclarationOfReferencedTypesPattern ,33,8,0,7,276.0,150.0,8.36364,364.0,150.0,11.0303,-88.0,15.0,-2.66667,343.0,44.9234,1,0,0,0,0, 
47,229,org::eclipse::jdt::core::dom::ASTParser ,106,35,0,11,4597.0,1604.0,43.3679,2447.0,849.0,23.0849,2150.0,1604.0,20.283,225.28599999999997,17.0975,1,0,0,0,0, 
48,234,org::eclipse::jdt::internal::core::search::indexing::SourceIndexer ,58,6,0,10,317.0,78.0,5.46552,334.0,78.0,5.75862,-17.0,10.0,-0.293103,367.0,92.6327,1,0,0,0,0, 
49,238,org::eclipse::jdt::internal::formatter::FormatterCommentParser ,13,4,0,1,337.0,78.0,25.9231,167.0,45.0,12.8462,170.0,50.0,13.0769,9.14286,1.9978799999999999,5,0,0,0,0, 
50,240,org::eclipse::jdt::internal::compiler::lookup::BlockScope ,143,8,0,10,7111.0,1444.0,49.7273,7724.0,1444.0,54.013999999999996,-613.0,217.0,-4.28671,367.0,74.1449,1,0,0,0,0, 
51,241,org::eclipse::jdt::internal::compiler::lookup::LookupEnvironment ,156,12,0,11,3401.0,580.0,21.8013,2342.0,588.0,15.0128,1059.0,222.0,6.788460000000001,367.0,152.001,3,0,1,0,0, 
52,246,org::eclipse::jdt::internal::core::CopyResourceElementsOperation ,131,20,0,7,2700.0,580.0,20.6107,2515.0,580.0,19.1985,185.0,42.0,1.41221,367.0,79.1748,1,0,0,0,0, 
53,251,org::eclipse::jdt::internal::compiler::lookup::PackageBinding ,59,7,0,9,588.0,205.0,9.9661,594.0,205.0,10.0678,-6.0,21.0,-0.10169500000000001,367.0,79.0481,4,0,3,1,0, 
54,258,org::eclipse::jdt::core::formatter::DefaultCodeFormatterConstants ,119,55,0,9,8425.0,2042.0,70.7983,2635.0,594.0,22.1429,5790.0,2013.0,48.6555,246.571,30.3109,2,1,0,0,0, 
55,263,org::eclipse::jdt::internal::codeassist::complete::CompletionParser ,244,19,0,8,10254.0,1386.0,42.0246,5777.0,1386.0,23.6762,4477.0,564.0,18.3484,367.0,132.341,1,0,0,0,0, 
56,286,org::eclipse::jdt::internal::core::search::matching::MatchLocatorParser ,109,15,0,8,2519.0,442.0,23.1101,1822.0,290.0,16.7156,697.0,213.0,6.3945,367.0,155.613,0,0,0,0,0, 
57,289,org::eclipse::jdt::internal::compiler::lookup::UpdatedMethodBinding ,7,3,0,5,11.0,4.0,1.5714299999999999,8.0,4.0,1.14286,3.0,3.0,0.428571,264.857,94.5714,1,0,0,0,0, 
58,293,org::eclipse::jdt::internal::core::PackageFragmentRoot ,157,13,0,8,2349.0,392.0,14.9618,1852.0,392.0,11.7962,497.0,295.0,3.16561,367.0,94.4644,1,0,0,0,0, 
59,294,org::eclipse::jdt::core::util::CompilationUnitSorter ,45,17,0,8,1126.0,157.0,25.0222,729.0,306.0,16.2,397.0,148.0,8.82222,281.714,67.46,0,0,0,0,0, 
60,295,org::eclipse::jdt::internal::compiler::ast::Annotation ,78,15,1,7,1262.0,219.0,16.1795,1014.0,246.0,13.0,248.0,205.0,3.17949,255.71400000000003,64.8228,1,0,0,0,0, 
61,296,org::eclipse::jdt::internal::compiler::ast::JavadocFieldReference ,44,10,0,7,244.0,31.0,5.54545,174.0,21.0,3.95455,70.0,17.0,1.59091,239.143,57.1985,1,0,0,0,0, 
62,300,org::eclipse::jdt::internal::compiler::ClassFile ,226,71,0,10,50221.0,3693.0,222.217,44127.0,2958.0,195.252,6094.0,2050.0,26.9646,367.0,91.0942,6,1,1,0,0, 
63,301,org::eclipse::jdt::internal::core::ClasspathChange ,15,2,0,2,120.0,27.0,8.0,48.0,20.0,3.2,72.0,26.0,4.8,105.0,60.5952,1,0,0,0,0, 
64,303,org::eclipse::jdt::core::Signature ,127,24,0,10,8666.0,1365.0,68.2362,5536.0,1365.0,43.5905,3130.0,546.0,24.6457,367.0,112.494,1,0,0,0,0, 
65,310,org::eclipse::jdt::internal::compiler::parser::Scanner ,239,59,0,10,14272.0,3055.0,59.7155,13174.0,3055.0,55.1213,1098.0,269.0,4.59414,367.0,80.6008,1,0,0,0,0, 
66,313,org::eclipse::jdt::internal::core::search::matching::DeclarationOfReferencedMethodsPattern ,31,8,0,7,212.0,105.0,6.838710000000001,280.0,105.0,9.03226,-68.0,8.0,-2.19355,343.0,54.0222,1,0,0,0,0, 
67,317,org::eclipse::jdt::internal::compiler::ast::CompilationUnitDeclaration ,97,23,0,8,1990.0,289.0,20.5155,1403.0,289.0,14.4639,587.0,140.0,6.05155,367.0,139.257,2,0,0,0,0, 
68,324,org::eclipse::jdt::internal::core::search::IndexSelector ,55,6,0,8,988.0,192.0,17.9636,975.0,192.0,17.7273,13.0,50.0,0.236364,367.0,112.65,1,0,1,0,0, 
69,327,org::eclipse::jdt::core::search::FieldReferenceMatch ,27,5,0,6,257.0,45.0,9.51852,114.0,44.0,4.22222,143.0,31.0,5.2963,227.571,46.5097,1,0,0,0,0, 
70,328,org::eclipse::jdt::core::search::SearchDocument ,22,4,0,5,268.0,61.0,12.1818,99.0,30.0,4.5,169.0,31.0,7.68182,236.0,17.9238,1,0,0,0,0, 
71,330,org::eclipse::jdt::internal::core::util::DefaultBytecodeVisitor ,56,17,0,7,3556.0,587.0,63.5,4880.0,1041.0,87.1429,-1324.0,307.0,-23.6429,322.714,115.126,2,0,0,0,0, 
72,332,org::eclipse::jdt::internal::core::search::matching::InternalReferenceMatch ,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2857,0.0,1,0,0,0,0, 
73,355,org::eclipse::jdt::internal::core::search::matching::PatternLocator ,92,6,0,9,1830.0,206.0,19.8913,982.0,146.0,10.6739,848.0,205.0,9.21739,248.571,85.3527,1,0,0,0,0, 
74,356,org::eclipse::jdt::internal::codeassist::impl::Engine ,75,7,0,7,2054.0,181.0,27.3867,1763.0,181.0,23.5067,291.0,112.0,3.88,367.0,72.6069,1,0,0,0,0, 
75,358,org::eclipse::jdt::core::dom::ASTConverter ,318,166,0,10,17380.0,3852.0,54.6541,12236.0,2861.0,38.478,5144.0,1378.0,16.1761,333.14300000000003,97.7421,1,1,0,0,0, 
76,359,org::eclipse::jdt::internal::compiler::ast::QualifiedAllocationExpression ,115,16,0,11,2006.0,339.0,17.4435,1814.0,339.0,15.7739,192.0,68.0,1.66957,367.0,110.40100000000001,1,0,0,0,0, 
77,361,org::eclipse::jdt::internal::core::search::JavaSearchScope ,90,7,0,9,2269.0,335.0,25.2111,1645.0,335.0,18.2778,624.0,96.0,6.933330000000001,367.0,143.248,1,0,1,0,0, 
78,366,org::eclipse::jdt::internal::compiler::ast::Javadoc ,80,11,0,6,1712.0,152.0,21.4,853.0,113.0,10.6625,859.0,105.0,10.7375,239.143,65.9057,3,0,0,0,0, 
79,367,org::eclipse::jdt::core::dom::TypeBinding ,166,72,0,11,4331.0,668.0,26.0904,2972.0,616.0,17.9036,1359.0,119.0,8.18675,333.14300000000003,147.972,1,0,0,0,0, 
