,classname,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,
0,org::apache::lucene::search::spans::SpanOrQuery , 3 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
1,org::apache::lucene::index::DocumentsWriter , 42 , 42 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 
2,org::apache::lucene::document::Document , 9 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
3,org::apache::lucene::search::highlight::SimpleSpanFragmenter , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
4,org::apache::lucene::ant::FileExtensionDocumentHandler , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
5,org::apache::lucene::analysis::Token , 13 , 13 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
6,org::apache::lucene::search::FieldDoc , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
7,org::tartarus::snowball::ext::DanishStemmer , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
8,org::apache::lucene::search::SortField , 4 , 4 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
9,org::apache::lucene::document::AbstractField , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
10,org::apache::lucene::benchmark::byTask::utils::Config , 6 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
11,org::apache::lucene::benchmark::quality::utils::DocNameExtractor , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
12,org::apache::lucene::analysis::cjk::CJKAnalyzer , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
13,org::apache::lucene::search::HitIterator , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
14,org::apache::lucene::misc::HighFreqTerms , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
15,org::apache::lucene::index::FormatPostingsDocsConsumer , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
16,org::apache::lucene::search::IndexSearcher , 5 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
17,org::apache::lucene::store::db::DbIndexOutput , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
18,org::apache::lucene::search::highlight::TokenGroup , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
19,org::apache::lucene::index::MergeDocIDRemapper , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
20,org::apache::lucene::benchmark::byTask::tasks::RepSelectByPrefTask , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
21,org::apache::lucene::analysis::PorterStemFilter , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
22,org::apache::lucene::search::PhraseScorer , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
23,org::apache::lucene::analysis::WordlistLoader , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
24,org::apache::lucene::analysis::CharTokenizer , 3 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
25,org::apache::lucene::benchmark::byTask::tasks::ResetSystemEraseTask , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
26,org::apache::lucene::queryParser::surround::query::ComposedQuery , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
27,org::apache::lucene::xmlparser::builders::SpanBuilderBase , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
28,org::apache::lucene::store::Directory , 11 , 11 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
29,org::apache::lucene::xmlparser::builders::DuplicateFilterBuilder , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
30,org::apache::lucene::xmlparser::builders::BooleanQueryBuilder , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
31,org::apache::lucene::index::DocInverterPerField , 2 , 2 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 
32,org::apache::lucene::analysis::el::GreekLowerCaseFilter , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
33,org::apache::lucene::index::ReadOnlySegmentReader , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
34,org::apache::lucene::search::spans::SpanNotQuery , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
35,org::apache::lucene::benchmark::byTask::tasks::RepSumByNameTask , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
36,org::apache::lucene::index::InvertedDocEndConsumer , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
37,org::apache::lucene::search::highlight::SpanGradientFormatter , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
38,org::apache::lucene::xmlparser::CoreParser , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
39,org::apache::lucene::analysis::compound::hyphenation::HyphenationException , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
40,org::apache::lucene::xmlparser::builders::FilteredQueryBuilder , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
41,org::apache::lucene::benchmark::stats::MemUsage , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
42,org::apache::lucene::index::ParallelReader , 15 , 15 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
43,org::apache::lucene::store::ChecksumIndexInput , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
44,org::apache::lucene::analysis::compound::DictionaryCompoundWordTokenFilter , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
45,org::apache::lucene::store::SingleInstanceLockFactory , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
46,org::apache::lucene::analysis::ar::ArabicNormalizationFilter , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
47,org::apache::lucene::analysis::StopAnalyzer , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
48,org::apache::lucene::analysis::PerFieldAnalyzerWrapper , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
49,org::apache::lucene::index::IndexReader , 34 , 34 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 
50,org::apache::lucene::wordnet::SynLookup , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
51,org::apache::lucene::queryParser::surround::parser::QueryParserTokenManager , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
52,org::apache::lucene::analysis::ngram::EdgeNGramTokenFilter , 3 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
53,org::apache::lucene::search::ExtendedFieldCacheImpl , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
54,org::apache::lucene::benchmark::byTask::tasks::NewRoundTask , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
55,org::apache::lucene::benchmark::byTask::stats::Points , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
56,org::apache::lucene::analysis::miscellaneous::PrefixAwareTokenFilter , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
57,org::apache::lucene::queryParser::Token , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
58,org::apache::lucene::store::Lock , 5 , 5 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
59,org::apache::lucene::index::FreqProxTermsWriter , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
60,org::apache::lucene::analysis::compound::hyphenation::Hyphen , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
61,org::apache::lucene::index::InvertedDocConsumerPerThread , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
62,org::apache::lucene::analysis::Analyzer , 2 , 2 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
63,org::apache::lucene::xmlparser::builders::LikeThisQueryBuilder , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
64,org::apache::lucene::xmlparser::builders::RangeFilterBuilder , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
65,org::tartarus::snowball::ext::LovinsStemmer , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
66,org::apache::lucene::util::UnicodeUtil , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
67,org::apache::lucene::document::NumberTools , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
68,org::apache::lucene::search::ExactPhraseScorer , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
69,org::apache::lucene::store::FSDirectory , 30 , 30 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 
70,org::apache::lucene::ant::TextDocument , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
71,org::apache::lucene::xmlparser::builders::SpanNotBuilder , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
72,org::apache::lucene::store::instantiated::InstantiatedIndexReader , 3 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
73,org::tartarus::snowball::ext::PortugueseStemmer , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
74,org::apache::lucene::util::CloseableThreadLocal , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
75,org::apache::lucene::index::FormatPostingsTermsWriter , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
76,org::apache::lucene::index::MergeScheduler , 6 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
77,org::apache::lucene::index::TermInfo , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
78,org::apache::lucene::search::ComplexExplanation , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
79,org::apache::lucene::search::DocIdSetIterator , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
80,org::apache::lucene::store::db::DbDirectory , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
81,org::apache::lucene::search::CheckHits , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
82,org::apache::lucene::index::Term , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
83,org::apache::lucene::demo::SearchFiles , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
84,org::apache::lucene::demo::html::ParseException , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
85,org::apache::lucene::queryParser::surround::query::NotQuery , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
86,org::tartarus::snowball::Among , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
87,org::apache::lucene::search::NonMatchingScorer , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
88,org::apache::lucene::index::TermVectorsTermsWriterPerThread , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
89,org::apache::lucene::search::Explanation , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
90,org::apache::lucene::index::TermVectorsWriter , 6 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
91,org::apache::lucene::search::spans::NearSpansOrdered , 2 , 2 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
92,org::apache::lucene::util::BitVector , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
93,org::apache::lucene::search::regex::RegexTermEnum , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
94,org::apache::lucene::search::BoostingQuery , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
95,org::apache::lucene::analysis::ngram::NGramTokenizer , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
96,org::apache::lucene::queryParser::ParseException , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
97,org::apache::lucene::benchmark::byTask::feeds::NoMoreDataException , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
98,org::apache::lucene::demo::html::HTMLParser , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
99,org::apache::lucene::queryParser::surround::query::BasicQueryFactory , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
100,org::apache::lucene::analysis::br::BrazilianAnalyzer , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
101,org::apache::lucene::search::Similarity , 4 , 4 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
102,org::apache::lucene::search::highlight::SimpleFragmenter , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
103,org::apache::lucene::index::SegmentTermVector , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
104,org::apache::lucene::benchmark::Constants , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
105,org::apache::lucene::benchmark::byTask::tasks::WarmTask , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
106,org::apache::lucene::index::DefaultSkipListReader , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
107,org::apache::lucene::analysis::el::GreekAnalyzer , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
108,org::apache::lucene::xmlparser::builders::SpanOrBuilder , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
109,org::apache::lucene::search::function::CustomScoreQuery , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
110,org::apache::lucene::index::SortedTermVectorMapper , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
111,org::apache::lucene::analysis::sinks::TokenTypeSinkTokenizer , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
112,org::apache::lucene::search::spans::SpanWeight , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
113,org::apache::lucene::search::FuzzyTermEnum , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
114,org::apache::lucene::search::function::ShortFieldSource , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
115,org::apache::lucene::search::payloads::BoostingTermQuery , 7 , 7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
116,org::apache::lucene::search::highlight::TokenSources , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
117,org::apache::lucene::demo::html::ParserThread , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
118,org::tartarus::snowball::ext::EnglishStemmer , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
119,org::apache::lucene::index::TermVectorEntry , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
120,org::apache::lucene::LucenePackage , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
121,org::apache::lucene::index::FieldSortedTermVectorMapper , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
122,org::apache::lucene::store::BufferedIndexInput , 6 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
123,org::apache::lucene::index::FieldInfos , 6 , 6 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
124,org::apache::lucene::index::TermInfosReader , 14 , 14 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
125,org::apache::lucene::swing::models::RestaurantInfo , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
126,org::apache::lucene::benchmark::byTask::tasks::TaskSequence , 6 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
127,org::apache::lucene::index::FreqProxTermsWriterPerThread , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
128,org::apache::lucene::index::DocInverter , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
129,org::apache::lucene::util::SortedVIntList , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
130,org::apache::lucene::analysis::cn::ChineseAnalyzer , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
131,org::apache::lucene::store::je::JEDirectory , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
132,org::apache::lucene::search::highlight::GradientFormatter , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
133,org::apache::lucene::wordnet::Syns2Index , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
134,org::apache::lucene::index::MergePolicy , 9 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
135,org::apache::lucene::search::QueryUtils , 9 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
136,org::apache::lucene::index::memory::SynonymTokenFilter , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
137,org::apache::lucene::search::DisjunctionSumScorer , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
138,org::apache::lucene::store::NativeFSLockFactory , 10 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
139,org::apache::lucene::queryParser::surround::query::SpanNearClauseFactory , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
140,org::apache::lucene::search::spell::PlainTextDictionary , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
141,org::apache::lucene::store::BufferedIndexOutput , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
142,org::apache::lucene::document::MapFieldSelector , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
143,org::apache::lucene::search::MockFilter , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
144,org::apache::lucene::store::instantiated::InstantiatedIndex , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
145,org::apache::lucene::index::FieldReaderException , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
146,org::apache::lucene::store::LockFactory , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
147,org::apache::lucene::benchmark::quality::trec::QueryDriver , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
148,org::apache::lucene::index::TermsHashConsumerPerField , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
149,org::apache::lucene::xmlparser::builders::TermsQueryBuilder , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
150,org::apache::lucene::search::spans::TermSpans , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
151,org::apache::lucene::demo::html::TokenMgrError , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
152,org::apache::lucene::search::TopDocs , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
153,org::apache::lucene::benchmark::quality::trec::TrecJudge , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
154,org::apache::lucene::demo::html::SimpleCharStream , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
155,org::apache::lucene::index::TermsHashConsumerPerThread , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
156,org::apache::lucene::index::FormatPostingsPositionsConsumer , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
157,org::apache::lucene::queryParser::surround::parser::QueryParser , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
158,org::apache::lucene::store::instantiated::InstantiatedTermPositions , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
159,org::apache::lucene::analysis::el::GreekCharsets , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
160,org::apache::lucene::benchmark::stats::QueryData , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
161,org::apache::lucene::benchmark::byTask::feeds::FileBasedQueryMaker , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
162,org::tartarus::snowball::ext::FinnishStemmer , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
163,org::apache::lucene::search::highlight::SpanScorer , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
164,org::apache::lucene::search::regex::RegexQuery , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
165,org::apache::lucene::document::Field , 7 , 7 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
166,org::tartarus::snowball::ext::TurkishStemmer , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
167,org::apache::lucene::analysis::WhitespaceTokenizer , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
168,org::apache::lucene::demo::DeleteFiles , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
169,org::apache::lucene::xmlparser::builders::FuzzyLikeThisQueryBuilder , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
170,org::apache::lucene::index::InvertedDocConsumerPerField , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
171,org::apache::lucene::index::SegmentMergeInfo , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
172,org::apache::lucene::search::FuzzyLikeThisQuery , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
